year,school,over_500,srs,pace,o_rtg,3pa_rate,ts_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,orb_percent
2021-22,Portland,TRUE,-1.71,72,102.7,0.384,0.551,50.2,56.8,7,6.8,16.4,23.9
2021-22,Prairie View,FALSE,-10.47,71.8,95.6,0.327,0.524,49.1,47.7,11.7,8.2,20.8,31.7
2021-22,Presbyterian,FALSE,-8.47,66.5,98.5,0.36,0.502,53.1,50.8,11.5,8.4,16.7,33.9
2021-22,Princeton,TRUE,2.65,68.7,114.7,0.453,0.584,51.4,51,8.9,4.4,12.9,25.8
2021-22,Providence NCAA,TRUE,13.08,65.9,106.5,0.38,0.54,52.2,54.1,7.5,9.7,14.7,30.3
2021-22,Purdue NCAA,TRUE,19.15,66.7,117.8,0.392,0.593,57.1,58.6,6.9,9.7,15,35.2
2021-22,Quinnipiac,FALSE,-5.56,69.3,103.2,0.438,0.54,50.7,56.5,9.1,5.7,16.3,28.7
2021-22,Radford,FALSE,-9.23,65.4,95.3,0.408,0.503,50.3,47.4,10,4.7,18,28.9
2021-22,Rhode Island,FALSE,2.92,68.2,98.4,0.292,0.527,51.5,54.2,10.8,18.2,18.3,28.6
2021-22,Rice,FALSE,-2.74,68.4,106.8,0.424,0.564,50.8,59.1,7.4,4.5,16,26.6
2021-22,Richmond NCAA,TRUE,7.07,67.4,104.7,0.417,0.542,47.6,57.4,11.2,6.3,13,22.4
2021-22,Rider,FALSE,-5.87,68.3,98.2,0.286,0.496,50.5,50.8,9.9,7.7,14.8,29.3
2021-22,Robert Morris,FALSE,-12.5,67.7,101.7,0.319,0.551,49.3,49.2,8.8,10.1,18.4,28.5
2021-22,Rutgers NCAA,TRUE,8.78,65.5,102.9,0.316,0.525,51.4,58.8,10.6,11.7,15,29.6
2021-22,Sacramento State,FALSE,-12.06,66.4,98.1,0.338,0.518,46.5,45.8,8.9,8.1,14.9,22.4
2021-22,Sacred Heart,FALSE,-13.41,69.3,104,0.39,0.538,50.9,54,7.8,5.7,17,31.8
2021-22,Saint Francis (PA),FALSE,-14.57,68.9,98.3,0.311,0.498,49.3,50.9,9.4,7.3,15.5,31
2021-22,Saint Joseph's,FALSE,1,68.5,97.9,0.449,0.515,51.7,54.4,7.1,5.9,17.1,27
2021-22,Saint Louis,TRUE,9.83,69,109.2,0.306,0.553,54.5,54,9.2,8.4,15.7,34.4
2021-22,Saint Mary's (CA) NCAA,TRUE,14.82,65.5,106.5,0.363,0.556,53.4,51.6,10.6,6.6,15.2,27.8
2021-22,Saint Peter's NCAA,TRUE,2.96,66.7,99.6,0.303,0.519,51.5,52.4,10.5,14.8,17.2,31.3
2021-22,Sam Houston State,TRUE,0.07,68.8,99.7,0.422,0.513,52.2,55.1,11,8.1,15.8,27.9
2021-22,Samford,TRUE,-3.01,70.5,105.1,0.435,0.548,51.1,48,10.5,9.2,16.8,30.6
2021-22,San Diego State NCAA,TRUE,13.13,65.3,99,0.308,0.518,51.5,50.2,11.3,14.4,16.8,29.5
2021-22,San Diego,FALSE,-3.32,67.4,96.9,0.283,0.506,50.6,40,7.5,8.6,16.1,27
2021-22,San Francisco NCAA,TRUE,14.12,70.9,108.7,0.453,0.56,53.4,46.9,10.8,11.6,15.6,30.2
2021-22,San Jose State,FALSE,-7.01,66.3,96.6,0.451,0.525,46.2,55,7.8,8.2,17.7,22.4
2021-22,Santa Clara,TRUE,8.98,71.4,107.8,0.321,0.575,50.4,52.5,8.3,8.8,14.7,22.8
2021-22,Seattle,TRUE,1.96,71.8,103.8,0.458,0.531,50.3,52.6,9.6,10.1,14.1,26.4
2021-22,Seton Hall NCAA,TRUE,12.75,68.7,104.4,0.359,0.521,51.8,40.8,10.2,13.8,14.9,32.6
2021-22,Siena,TRUE,-6.4,67.2,97.4,0.34,0.521,48.2,42.1,9.1,9.8,16.5,24.5
2021-22,South Alabama,TRUE,0.23,67.5,105.2,0.354,0.547,49.8,45.5,10.2,14.3,16.2,28.9
2021-22,South Carolina State,FALSE,-13.04,73.7,96.3,0.324,0.478,52.9,47.6,8.9,10.1,16.4,35.7
2021-22,South Carolina Upstate,FALSE,-9.01,69.4,102.1,0.386,0.551,47.4,53.7,9.1,9.8,16.4,22.7
2021-22,South Carolina,TRUE,7.14,72.2,98,0.349,0.506,51.3,53.6,10.8,13.7,17.8,34.3
2021-22,South Dakota State NCAA,TRUE,6.6,71.7,119.3,0.354,0.627,52.7,49,8.5,6.9,13.8,24
2021-22,South Dakota,TRUE,-4.43,67.5,110.5,0.332,0.564,52.9,44.6,6.5,6.6,13,27.1
2021-22,South Florida,FALSE,-3.05,65.9,87.2,0.306,0.444,50,50.6,9.4,11.9,16.2,29.6
2021-22,Southeast Missouri State,FALSE,-7.19,72.6,103.7,0.436,0.551,48.1,54.5,8.9,7.3,16.1,25.7
2021-22,Southeastern Louisiana,TRUE,-9.03,73.4,106.9,0.426,0.575,47.5,57,10.8,10,17.3,27
